CAS,Name,Molecular Formulae,Molecular Weight
16747-50-5,1-methyl-1-ethylcyclopentane,-C(CH3)(C2H5)CH2CH2CH2CH2-,112.2126
2040-95-1,N-butylcyclopentane,(C5H9)CH2CH2CH2CH3,126.2392
590-66-9,"1,1-dimethylcyclohexane",-C(CH3)2(CH2)5-,112.2126
04-01-2207,"Cis-1,2-dimethylcyclohexane",-CH(CH3)CH(CH3)(CH2)4-,112.2126
6876-23-9,"Trans-1,2-dimethylcyclohexane",-CH(CH3)CH(CH3)(CH2)4-,112.2126
638-04-0,"Cis-1,3-dimethylcyclohexane",-CH(CH3)CH2CH(CH3)(CH2)3-,112.2126
06-03-2207,"Trans-1,3-dimethylcyclohexane",-CH(CH3)CH2CH(CH3)(CH2)3-,112.2126
624-29-3,"Cis-1,4-dimethylcyclohexane",-CH(CH3)CH2CH2CH(CH3)(CH2)2-,112.2126
07-04-2207,"Trans-1,4-dimethylcyclohexane",-CH(CH3)CH2CH2CH(CH3)(CH2)2-,112.2126
3178-22-1,Tert-butylcyclohexane,C6H11C(CH3)3,140.2658
611-14-3,O-ethyltoluene,CH3(C6H4)CH2CH3,120.1916
620-14-4,M-ethyltoluene,CH3(C6H4)CH2CH3,120.1916
622-96-8,P-ethyltoluene,CH3(C6H4)CH2CH3,120.1916
526-73-8,"1,2,3-trimethylbenzene",(C6H3)(CH3)3,120.1916
95-63-6,"1,2,4-trimethylbenzene",(C6H3)(CH3)3,120.1916
108-67-8,Mesitylene,(C6H3)(CH3)3,120.1916
538-93-2,Isobutylbenzene,(C6H5)CH2CH(CH3)2,134.2182
135-98-8,Sec-butylbenzene,(C6H5)CH(CH3)CH2CH3,134.2182
98-06-6,Tert-butylbenzene,(C6H5)C(CH3)2CH3,134.2182
527-84-4,O-cymene,CH3(C6H4)CH(CH3)2,134.2182
535-77-3,M-cymene,CH3(C6H4)CH(CH3)2,134.2182
99-87-6,P-cymene,CH3(C6H4)CH(CH3)2,134.2182
135-01-3,O-diethylbenzene,CH3CH2(C6H4)CH2CH3,134.2182
141-93-5,M-diethylbenzene,CH3CH2(C6H4)CH2CH3,134.2182
105-05-5,P-diethylbenzene,CH3CH2(C6H4)CH2CH3,134.2182
488-23-3,"1,2,3,4-tetramethylbenzene",(C6H2)(CH3)4,134.2182
527-53-7,"1,2,3,5-tetramethylbenzene",(C6H2)(CH3)4,134.2182
95-93-2,"1,2,4,5-tetramethylbenzene",(C6H2)(CH3)4,134.2182
04-04-2870,2-ethyl-m-xylene,CH3CH2(C6H3)(CH3)2,134.2182
1758-88-9,2-ethyl-p-xylene,CH3CH2(C6H3)(CH3)2,134.2182
874-41-9,4-ethyl-m-xylene,CH3CH2(C6H3)(CH3)2,134.2182
934-80-5,4-ethyl-o-xylene,CH3CH2(C6H3)(CH3)2,134.2182
1074-43-7,1-methyl-3-n-propylbenzene,CH3(C6H4)CH2CH2CH3,134.2182
1074-55-1,1-methyl-4-n-propylbenzene,CH3(C6H4)CH2CH2CH3,134.2182
100-18-5,P-diisopropylbenzene,(CH3)2CH(C6H4)CH(CH3)2,162.2713
108-10-1,Methyl isobutyl ketone,CH3COCH2CH(CH3)2,100.1589
106-35-4,3-heptanone,CH3(CH2)3COC2H5,114.1855
123-19-3,4-heptanone,(CH3CH2CH2)2CO,114.1855
589-38-8,3-hexanone,CH3CH2CH2COCH2CH3,100.1589
